Time,Speed_des,Speed,Duty_Cycle,Position
21.65,1.0,2.32,3.33,-3.53
21.75,1.0,2.34,3.33,-3.53
21.85,1.0,2.56,3.33,-3.56
21.95,1.0,2.55,3.33,-3.56
22.05,1.0,2.52,3.33,-3.56
22.15,1.0,2.49,3.33,-3.53
22.24,1.0,2.31,3.33,-3.53
22.34,1.0,2.16,3.33,-3.51
22.44,1.0,1.44,3.33,-3.53
22.54,1.0,1.32,3.33,-3.51
22.64,1.0,1.58,3.33,-3.51
22.74,1.0,1.55,3.33,-3.51
22.84,1.0,1.32,3.33,-3.51
22.93,1.0,1.34,3.33,-3.53
23.03,1.0,1.32,3.33,-3.53
23.13,1.0,1.33,3.33,-3.56
23.23,1.0,1.31,3.33,-3.58
23.33,1.0,1.32,3.33,-3.6
23.43,1.0,1.32,3.33,-3.58
23.53,1.0,1.23,3.33,-3.6
23.62,1.0,0.97,3.33,-3.6
23.72,1.0,0.98,3.33,-3.58
23.82,1.0,1.0,3.33,-3.6
23.92,1.0,0.97,3.33,-3.6
24.02,1.0,0.98,3.33,-3.58
24.12,1.0,0.99,3.33,-3.58
24.22,1.0,0.98,3.33,-3.58
24.31,1.0,0.99,3.33,-3.56
24.41,1.0,0.99,3.33,-3.56
24.51,1.0,0.99,3.33,-3.53
24.61,1.0,1.0,3.33,-3.56
24.71,1.0,1.0,3.33,-3.53
24.81,1.0,1.0,3.33,-3.53
24.91,1.0,1.02,3.33,-3.53
25.01,1.0,1.01,3.33,-3.53
25.1,1.0,1.01,3.33,-3.53
25.2,1.0,1.02,3.33,-3.53
25.3,1.0,1.02,3.33,-3.56
25.4,1.0,1.02,3.33,-3.53
25.5,1.0,1.03,3.33,-3.56
25.6,1.0,1.03,3.33,-3.53
25.7,1.0,1.03,3.33,-3.56
25.79,1.0,1.03,3.33,-3.56
25.89,1.0,1.01,3.33,-3.56
25.99,1.0,1.04,3.33,-3.56
26.09,1.0,1.03,3.33,-3.56
26.19,1.0,1.03,3.33,-3.53
26.29,1.0,1.03,3.33,-3.56
26.38,1.0,1.03,3.33,-3.56
